Bus_No,CloudLocation,FileNameNoPath,PrivateId,CreationDate,ArchivedDate,DeletedAt,State,FileRestored,ReturnToLongTermDate
4597300,561eabb4-d598-460d-86f1-23250c0ec519,96263507313.wav,b088ca82-96ef-4eac-bc10-57f0a3c494bd,1566141900735,1567351551178,,6,,1570233600000
4597300,088f117a-4077-46d7-a362-12d381b217d5,96725652973.wav,0946caa7-2052-4ed9-a3ab-4067ca686663,1568129321973,1569338998212,,6,,1570838400000
4597300,45e36225-2fcb-478f-8e8b-7b295d7d8274,95927288570.wav,a07d3031-7a07-476e-914a-5c5deecfa9f1,1564708399788,1565918027834,,6,,1570233600000
4597300,53cd1b1d-a76f-49c4-86ea-8458d405d198,96617625300.wav,2ff6e404-da60-4436-8144-c2bec529172c,1567691327638,1568900993331,,6,,1570147200000
4597300,877f15a4-b375-454a-843d-2cfc841e417f,95207871704.wav,4748c527-a5e1-4119-b616-be2357e9ee66,1561482346120,1563613661924,,6,,1569628800000
4597300,4450d2df-360f-47d6-b98b-530373e446e6,96501373116.wav,88251693-d5ee-4337-b6c0-fb9d6d40c70a,1567108824940,1568318517797,,6,,1569628800000
4597300,6f0c794b-b694-4dbe-b946-6e3a42514ce3,96298727460.wav,fc717fee-4c1a-4d73-aa87-4f74b430d5f1,1566327365408,1567537072931,,6,,1569456000000
4597300,cfcc8067-3645-4ac2-8210-575265b1ee8b,5138119359.wav,e5bc8606-adb1-4128-a1a3-b9260b1b77d1,1564758575143,1565969990515,,6,,1569024000000
4597300,ffb652c6-bbec-40e1-a468-09714aac776c,96318900185.wav,a8b0a69f-1258-4258-8ecc-d234fedf4e45,1566411854631,1567621555456,,6,,1570233600000
4597300,6188f124-5a9c-4158-8fad-156c40f71ce9,96536262473.wav,c36725ec-bf7a-4dd7-9bd9-510370a3eb27,1567368545486,1568578193976,,6,,1569456000000
4597300,e1ec9650-227b-44c7-ad5b-2dbbee9efdc2,96383073909.wav,a5dd97ba-7671-40da-af95-f1066c2737db,1566664889251,1567874633346,,6,,1570233600000
4597300,04ee3cd2-3651-47a0-9315-f2214ef78719,95539748493.wav,5135e234-8749-4a12-89a8-e3d811d4ed96,1562957887920,1564167588121,,6,,1570060800000
4597300,43d622e9-f4cd-4712-b9c3-e4dafd4f95a5,96283962844.wav,ddbb6876-a213-4c4b-81b8-252a4d9ba908,1566265503468,1567475152204,,6,,1569628800000
4597300,be2218a2-11fb-4f52-b143-23503b628f97,96264462735.wav,71152a0a-6774-4b5b-b587-2f06aae2ce83,1566241039226,1567450672051,,6,,1569888000000
4597300,03c84fde-8002-401f-a399-a79f3415e61c,5009709408.wav,e99bf531-a19e-4f39-a92d-3981832e7034,1549060459043,1551652597742,,6,,1569369600000
4597300,2a17d8c9-468d-4c5c-81d3-b1e80cad8499,4939532265.wav,94847f6d-444c-45c8-8c04-bd387374468e,1542232652000,1559767955288,,6,,1570752000000
4597300,d0545c12-fa73-41ff-b34f-381686c5b3ff,4924322458.wav,c575a1a4-435e-446b-9b96-7f78e80e18b8,1540837032457,1548613077272,,6,,1570406400000
4597300,49fdd600-ce0b-40dc-80b3-c074713c7ed9,95900079449.wav,9d5f6a97-e150-4319-83b0-8dbd8fcf25f5,1564588530493,1565798270396,,6,,1570233600000
